"No","Account","Resource","URL","password","role"
1,"root","arn:aws:s3:::files-1","s3://files-1","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-01"
2,"root","arn:aws:s3:::files-2","s3://files-2","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-02"
3,"root","arn:aws:s3:::files-3","s3://files-3","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-03"
4,"root","arn:aws:s3:::files-4","s3://files-4","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-04"
5,"root","arn:aws:s3:::files-5","s3://files-5","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-05"
6,"root","arn:aws:s3:::files-6","s3://files-6","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-06"
7,"root","arn:aws:s3:::files-7","s3://files-7","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-07"
8,"root","arn:aws:s3:::files-8","s3://files-8","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-08"
9,"root","arn:aws:s3:::files-9","s3://files-9","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-09"
10,"root","arn:aws:s3:::files-10","s3://files-10","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-10"
11,"root","arn:aws:s3:::files-11","s3://files-11","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-11"
12,"root","arn:aws:s3:::files-12","s3://files-12","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-12"
13,"root","arn:aws:s3:::files-13","s3://files-13","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-13"
14,"root","arn:aws:s3:::files-14","s3://files-14","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-14"
15,"root","arn:aws:s3:::files-15","s3://files-15","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-15"
16,"root","arn:aws:s3:::files-16","s3://files-16","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-16"
17,"root","arn:aws:s3:::files-17","s3://files-17","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-17"
18,"root","arn:aws:s3:::files-18","s3://files-18","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-18"
19,"root","arn:aws:s3:::files-19","s3://files-19","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-19"
20,"root","arn:aws:s3:::files-20","s3://files-20","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-20"
21,"root","arn:aws:s3:::files-21","s3://files-21","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-21"
22,"root","arn:aws:s3:::files-22","s3://files-22","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-22"
23,"root","arn:aws:s3:::files-23","s3://files-23","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-23"
24,"root","arn:aws:s3:::files-24","s3://files-24","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-24"
25,"root","arn:aws:s3:::files-25","s3://files-25","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-25"
26,"root","arn:aws:s3:::files-26","s3://files-26","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-26"
27,"root","arn:aws:s3:::files-27","s3://files-27","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-27"
28,"root","arn:aws:s3:::files-28","s3://files-28","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-28"
29,"root","arn:aws:s3:::files-29","s3://files-29","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-29"
30,"root","arn:aws:s3:::files-30","s3://files-30","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-30"
31,"root","arn:aws:s3:::files-31","s3://files-31","Welcome123!","arn:aws:iam::xxx8834584002:role/APIGatewayAccessToS3-31"
